Date, Open, High, Low, Close, Volume
10/31/17, 236.26, 236.47, 235.90, 236.13, 1357556
10/30/17, 236.13, 236.615, 235.5327, 235.86, 1292944
10/27/17, 235.63, 236.88, 235.30, 236.72, 2824985
10/26/17, 235.10, 235.41, 234.67, 234.72, 3298206
10/25/17, 235.30, 235.41, 233.291, 234.50, 1943399
10/24/17, 235.68, 235.89, 235.27, 235.63, 1818387
10/23/17, 236.49, 236.49, 235.152, 235.30, 1100961
10/20/17, 235.80, 236.185, 235.53, 236.16, 1296336
10/19/17, 234.03, 234.99, 233.6199, 234.99, 1653625
10/18/17, 235.06, 235.09, 234.68, 234.87, 1527797
10/17/17, 234.47, 234.69, 234.22, 234.66, 1332426
10/16/17, 234.41, 234.69, 234.0406, 234.51, 1767459
10/13/17, 234.37, 234.47, 234.02, 234.14, 1067996
10/12/17, 233.87, 234.27, 233.64, 233.88, 1079399
10/11/17, 233.74, 234.24, 233.60, 234.24, 1036378
10/10/17, 233.84, 234.2526, 233.29, 233.86, 1027667
10/09/17, 233.92, 233.93, 232.98, 233.27, 768438
10/06/17, 233.46, 233.70, 233.18, 233.68, 1101532
10/05/17, 232.86, 233.93, 232.76, 233.90, 1471827
10/04/17, 232.12, 232.78, 231.9766, 232.52, 1006990
10/03/17, 231.90, 232.25, 231.67, 232.20, 1316354
10/02/17, 231.00, 231.73, 230.91, 231.73, 1960563
09/29/17, 229.91, 230.83, 229.74, 230.76, 1726212
09/28/17, 229.36, 230.01, 229.29, 229.94, 1084739
09/27/17, 229.53, 230.0631, 228.5968, 229.67, 2103859
09/26/17, 229.09, 229.32, 228.53, 228.78, 2335149
09/25/17, 228.82, 229.20, 227.86, 228.70, 1523677
09/22/17, 228.75, 229.26, 228.72, 229.04, 1599223
09/21/17, 229.54, 229.58, 228.87, 229.07, 1899880
09/20/17, 229.68, 229.78, 228.63, 229.72, 1850533
09/19/17, 230.79, 230.85, 230.44, 230.77, 1302418
09/18/17, 230.46, 230.90, 230.122, 230.49, 1325168
09/15/17, 229.62, 230.13, 229.49, 230.09, 1419681
09/14/17, 229.47, 229.94, 229.31, 229.77, 1857330
09/13/17, 229.37, 229.85, 229.28, 229.85, 1155775
09/12/17, 229.32, 229.72, 229.13, 229.71, 1535016
09/11/17, 227.85, 229.01, 227.84, 228.87, 2007238
09/08/17, 226.45, 226.9804, 226.25, 226.40, 1896853
09/07/17, 227.13, 227.13, 226.342, 226.75, 1620341
09/06/17, 226.76, 227.14, 226.1915, 226.80, 1523352
09/05/17, 227.10, 227.3507, 224.98, 226.01, 2222499
09/01/17, 227.76, 228.1079, 227.51, 227.69, 1393725
08/31/17, 226.63, 227.58, 226.55, 227.30, 2202709
08/30/17, 224.86, 226.2401, 224.69, 225.97, 1377845
08/29/17, 223.25, 225.16, 223.15, 224.85, 1397426
08/28/17, 225.16, 225.21, 224.19, 224.68, 800954
08/25/17, 224.95, 225.58, 224.47, 224.60, 1220802
08/24/17, 225.04, 225.17, 223.88, 224.11, 1345458
08/23/17, 224.46, 225.06, 224.26, 224.63, 1463269
08/22/17, 223.72, 225.60, 223.69, 225.40, 1455656
08/21/17, 222.85, 223.36, 222.12, 223.14, 1281552
08/18/17, 223.09, 224.2689, 222.45, 222.87, 2691136
08/17/17, 226.19, 226.50, 223.28, 223.28, 3396186
08/16/17, 226.95, 227.39, 226.37, 226.81, 1531378
08/15/17, 226.84, 226.87, 226.10, 226.45, 1309702
08/14/17, 225.56, 226.6654, 225.56, 226.43, 2201879
08/11/17, 224.13, 224.82, 223.87, 224.23, 1584454
08/10/17, 226.24, 226.345, 223.85, 223.93, 3043288
08/09/17, 226.35, 227.15, 226.00, 227.05, 1536588
08/08/17, 227.34, 228.62, 226.73, 227.18, 1065082
08/07/17, 227.33, 227.66, 227.20, 227.63, 848497
08/04/17, 227.36, 227.59, 226.84, 227.26, 1039834
08/03/17, 227.18, 227.18, 226.55, 226.88, 1266394
08/02/17, 227.31, 227.42, 226.2873, 227.28, 1889733
08/01/17, 227.30, 227.32, 226.68, 227.15, 1674501
07/31/17, 227.23, 227.30, 226.44, 226.64, 3020261
07/28/17, 226.54, 226.92, 226.09, 226.77, 2364130
07/27/17, 227.75, 227.78, 225.65, 227.03, 1834455
07/26/17, 227.57, 227.59, 226.98, 227.30, 1574199
07/25/17, 227.51, 227.5928, 227.0199, 227.23, 1349504
07/24/17, 226.67, 226.8334, 226.2199, 226.69, 1278162
07/21/17, 226.36, 226.78, 226.11, 226.77, 2461780
07/20/17, 227.13, 227.25, 226.3995, 226.93, 1698108
07/19/17, 225.98, 226.86, 225.96, 226.86, 1255309
07/18/17, 225.13, 225.69, 224.73, 225.67, 3146451
07/17/17, 225.45, 225.8602, 225.34, 225.50, 1176176
07/14/17, 224.52, 225.90, 224.39, 225.47, 1642410
07/13/17, 224.16, 224.61, 223.89, 224.45, 1485924
07/12/17, 223.47, 224.28, 223.47, 224.07, 1492107
07/11/17, 222.42, 222.7599, 221.2193, 222.40, 1638921
07/10/17, 222.20, 222.99, 222.04, 222.57, 1800233
07/07/17, 221.52, 222.52, 221.3798, 222.34, 2148110
07/06/17, 222.16, 222.25, 220.72, 220.94, 2541830
07/05/17, 222.84, 223.17, 222.00, 222.94, 2043819
07/03/17, 223.09, 223.53, 222.47, 222.55, 1762460
06/30/17, 222.57, 222.91, 221.86, 222.06, 2982313
06/29/17, 223.81, 223.92, 220.4191, 221.69, 4613043
06/28/17, 222.73, 223.84, 222.50, 223.62, 2875767
06/27/17, 223.21, 223.52, 221.63, 221.66, 3476711
06/26/17, 224.00, 224.4491, 223.24, 223.44, 1321687
06/23/17, 223.12, 223.65, 222.72, 223.37, 1257512
06/22/17, 224.17, 224.659, 223.87, 224.00, 1344396
06/21/17, 224.57, 224.72, 223.64, 224.13, 1422018
06/20/17, 225.36, 225.36, 224.18, 224.22, 1365997
06/19/17, 224.73, 225.765, 224.62, 225.70, 1433401
06/16/17, 224.00, 224.06, 222.94, 223.87, 1603612
06/15/17, 222.86, 223.93, 222.51, 223.81, 2171076
06/14/17, 224.82, 224.84, 223.38, 224.26, 1886036
06/13/17, 223.99, 224.57, 223.6395, 224.50, 2170673
06/12/17, 223.21, 223.48, 222.51, 223.41, 1812649
06/09/17, 224.12, 224.9298, 222.10, 223.50, 2117658
06/08/17, 223.82, 224.3079, 223.24, 223.76, 1116090
06/07/17, 223.69, 223.93, 222.93, 223.68, 1328893
06/06/17, 223.37, 223.9547, 223.20, 223.31, 1449440
06/05/17, 223.99, 224.28, 223.81, 223.95, 1831231
06/02/17, 223.48, 224.32, 223.17, 224.10, 1857591
06/01/17, 222.14, 223.45, 221.86, 223.40, 2112900
05/31/17, 222.04, 222.08, 220.92, 221.67, 2326169
05/30/17, 221.56, 221.97, 221.42, 221.72, 1511818
05/26/17, 221.76, 222.07, 221.67, 221.93, 1196072
05/25/17, 221.425, 222.24, 221.21, 221.92, 1565020
05/24/17, 220.64, 221.00, 220.28, 220.89, 1454448
05/23/17, 220.31, 220.54, 219.90, 220.36, 1258977
05/22/17, 219.26, 220.05, 219.2341, 219.93, 1865003
05/19/17, 217.88, 219.4679, 217.825, 218.71, 2436492
05/18/17, 216.33, 218.24, 216.1301, 217.36, 2894833
05/17/17, 218.61, 219.07, 216.42, 216.57, 3507715
05/16/17, 220.88, 220.94, 220.00, 220.48, 2452545
